2010,3,Southern Illinois,3,Illinois,35
2010,3,Stanford,35,UCLA,0
2010,3,Syracuse,20,Washington,41
2010,3,Tennessee Tech,7,Texas Christian,62
2010,3,Texas Southern,3,Connecticut,62
2010,3,Texas Tech,52,New Mexico,17
2010,3,Toledo,20,Ohio,13
2010,3,Troy,38,Oklahoma State,41
2010,3,UAB,7,SMU,28
2010,3,UNLV,10,Utah,38
2010,3,UTEP,24,Houston,54
2010,3,Virginia,14,USC,17
2010,3,West Virginia,24,Marshall,21
2010,3,Western Illinois,21,Purdue,31
2010,3,Western Kentucky,28,Kentucky,63
2010,3,Wyoming,7,Texas,34
2010,4,Air Force,24,Oklahoma,27
2010,4,Akron,10,Kentucky,47
2010,4,Alabama,62,Duke,13
2010,4,Arizona State,19,Wisconsin,20
2010,4,Arkansas,31,Georgia,24
2010,4,BYU,10,Florida State,34
2010,4,Ball State,13,Purdue,24
2010,4,Baylor,10,Texas Christian,45
2010,4,Boise State,51,Wyoming,6
2010,4,California,31,Nevada,52
2010,4,Central Michigan,52,Eastern Michigan,14
2010,4,Cincinnati,19,North Carolina State,30
2010,4,Clemson,24,Auburn,27
2010,4,Colorado State,10,Miami,31
2010,4,Connecticut,16,Temple,30
2010,4,East Carolina,27,Virginia Tech,49
2010,4,FIU,20,Texas A&M,27
2010,4,Florida,31,Tennessee,17
2010,4,Fresno State,41,Utah State,24
2010,4,Furman,19,South Carolina,38
2010,4,Georgia Tech,30,North Carolina,24
2010,4,Hawaii,13,Colorado,31
2010,4,Houston,13,UCLA,31
2010,4,Indiana,38,Western Kentucky,21
2010,4,Iowa,27,Arizona,34
2010,4,Iowa State,20,Kansas State,27
2010,4,Kansas,16,Southern Mississippi,31
2010,4,Kent State,0,Penn State,24
2010,4,Louisiana-Monroe,20,Arkansas State,34
2010,4,Louisville,28,Oregon State,35
2010,4,Maine,14,Syracuse,38
2010,4,Marshall,28,Bowling Green,44
2010,4,Maryland,17,West Virginia,31
2010,4,Massachusetts,37,Michigan,42
2010,4,Middle Tennessee State,17,Memphis,24
2010,4,Mississippi State,7,LSU,29
2010,4,Navy,37,Louisiana Tech,23
2010,4,Nebraska,56,Washington,21
2010,4,New Mexico State,10,UTEP,42
2010,4,North Texas,0,Army,24
2010,4,Northern Illinois,22,Illinois,28
2010,4,Northwestern,30,Rice,13
2010,4,Notre Dame,31,Michigan State,34
2010,4,Ohio,7,Ohio State,43
2010,4,Portland State,0,Oregon,69
2010,4,San Diego State,24,Missouri,27
2010,4,Southern Utah,11,San Jose State,16
2010,4,Texas,24,Texas Tech,14
2010,4,Toledo,37,Western Michigan,24
2010,4,Troy,33,UAB,34
2010,4,Tulsa,28,Oklahoma State,65
2010,4,UCF,24,Buffalo,10
2010,4,UNLV,7,Idaho,30
2010,4,USC,32,Minnesota,21
2010,4,Utah,56,New Mexico,14
2010,4,Vanderbilt,28,Mississippi,14
2010,4,Wake Forest,24,Stanford,68
2010,4,Washington State,21,SMU,35
2010,5,Air Force,20,Wyoming,14
2010,5,Akron,20,Indiana,35
2010,5,Alabama,24,Arkansas,20
2010,5,Arkansas State,28,Troy,35
2010,5,Army,35,Duke,21
2010,5,Austin Peay,3,Wisconsin,70
2010,5,Ball State,0,Iowa,45
2010,5,Baylor,30,Rice,13
2010,5,Bowling Green,21,Michigan,65
2010,5,Buffalo,21,Connecticut,45
2010,5,California,9,Arizona,10
2010,5,Central Arkansas,14,Tulsa,41
2010,5,Central Michigan,25,Northwestern,30
2010,5,Charleston Southern,7,Hawaii,66
2010,5,Colgate,7,Syracuse,42
